Year;City;Country;Avg_temp
1743;Budapest;Hungary;4.92
1744;Budapest;Hungary;11.64
1745;Budapest;Hungary;1.79
1746;Budapest;Hungary;
1747;Budapest;Hungary;
1748;Budapest;Hungary;
1749;Budapest;Hungary;
1750;Budapest;Hungary;10.55
1751;Budapest;Hungary;10.89
1752;Budapest;Hungary;4.74
1753;Budapest;Hungary;9.66
1754;Budapest;Hungary;9.55
1755;Budapest;Hungary;9.35
1756;Budapest;Hungary;24.okt
1757;Budapest;Hungary;9.92
1758;Budapest;Hungary;8.71
1759;Budapest;Hungary;9.73
1760;Budapest;Hungary;9.49
1761;Budapest;Hungary;13.okt
1762;Budapest;Hungary;9.72
1763;Budapest;Hungary;22.szept
1764;Budapest;Hungary;02.okt
1765;Budapest;Hungary;9.80
1766;Budapest;Hungary;9.69
1767;Budapest;Hungary;15.szept
1768;Budapest;Hungary;8.48
1769;Budapest;Hungary;9.46
1770;Budapest;Hungary;9.49
1771;Budapest;Hungary;8.94
1772;Budapest;Hungary;10.68
1773;Budapest;Hungary;14.okt
1774;Budapest;Hungary;9.89
1775;Budapest;Hungary;10.61
1776;Budapest;Hungary;26.szept
1777;Budapest;Hungary;9.38
1778;Budapest;Hungary;10.63
1779;Budapest;Hungary;10.77
1780;Budapest;Hungary;9.50
1781;Budapest;Hungary;10.49
1782;Budapest;Hungary;30.szept
1783;Budapest;Hungary;21.okt
1784;Budapest;Hungary;22.szept
1785;Budapest;Hungary;8.47
1786;Budapest;Hungary;8.81
1787;Budapest;Hungary;9.99
1788;Budapest;Hungary;9.50
1789;Budapest;Hungary;07.okt
1790;Budapest;Hungary;10.okt
1791;Budapest;Hungary;10.70
1792;Budapest;Hungary;9.77
1793;Budapest;Hungary;9.77
1794;Budapest;Hungary;10.80
1795;Budapest;Hungary;9.73
1796;Budapest;Hungary;9.95
1797;Budapest;Hungary;28.nov
1798;Budapest;Hungary;28.okt
1799;Budapest;Hungary;8.47
1800;Budapest;Hungary;9.93
1801;Budapest;Hungary;10.75
1802;Budapest;Hungary;10.76
1803;Budapest;Hungary;11.szept
1804;Budapest;Hungary;9.40
1805;Budapest;Hungary;28.aug
1806;Budapest;Hungary;10.58
1807;Budapest;Hungary;10.49
1808;Budapest;Hungary;8.93
1809;Budapest;Hungary;9.37
1810;Budapest;Hungary;9.63
1811;Budapest;Hungary;10.60
1812;Budapest;Hungary;8.72
1813;Budapest;Hungary;23.szept
1814;Budapest;Hungary;8.84
1815;Budapest;Hungary;05.szept
1816;Budapest;Hungary;8.86
1817;Budapest;Hungary;9.68
1818;Budapest;Hungary;01.okt
1819;Budapest;Hungary;9.86
1820;Budapest;Hungary;9.36
1821;Budapest;Hungary;9.75
1822;Budapest;Hungary;10.91
1823;Budapest;Hungary;9.66
1824;Budapest;Hungary;10.57
1825;Budapest;Hungary;12.okt
1826;Budapest;Hungary;9.74
1827;Budapest;Hungary;17.okt
1828;Budapest;Hungary;9.56
1829;Budapest;Hungary;7.77
1830;Budapest;Hungary;9.36
1831;Budapest;Hungary;9.53
1832;Budapest;Hungary;8.79
1833;Budapest;Hungary;9.74
1834;Budapest;Hungary;10.93
1835;Budapest;Hungary;22.szept
1836;Budapest;Hungary;9.97
1837;Budapest;Hungary;8.60
1838;Budapest;Hungary;16.aug
1839;Budapest;Hungary;9.52
1840;Budapest;Hungary;23.aug
1841;Budapest;Hungary;31.okt
1842;Budapest;Hungary;8.91
1843;Budapest;Hungary;9.89
1844;Budapest;Hungary;8.90
1845;Budapest;Hungary;28.szept
1846;Budapest;Hungary;10.72
1847;Budapest;Hungary;8.88
1848;Budapest;Hungary;12.okt
1849;Budapest;Hungary;03.szept
1850;Budapest;Hungary;29.szept
1851;Budapest;Hungary;9.70
1852;Budapest;Hungary;9.97
1853;Budapest;Hungary;9.36
1854;Budapest;Hungary;9.36
1855;Budapest;Hungary;10.szept
1856;Budapest;Hungary;23.szept
1857;Budapest;Hungary;9.57
1858;Budapest;Hungary;28.aug
1859;Budapest;Hungary;21.okt
1860;Budapest;Hungary;9.52
1861;Budapest;Hungary;9.66
